USERNAME,nDCG@200
Adventurous_Guy,0.035397102679812505
Clen23,0.028205674704978298
CubyChris,0.0874781957916163
Livelogikal,0.04754629780238845
Mash404,0.013487334602603039
MingeyMackrel,0.0
Raven2002,0.0
Reeses2150,0.11317338678226731
VerbotenPublish,0.0
apoeticturtle,0.006630439342278273
baddonkey,0.0
daygloviking,0.0
locks_are_paranoid,0.03375419620283036
lokier01,0.18062146562720927
mguardian_north,0.012953243923398758
pierrekrahn,0.0833826679146569
spockspeare,0.026017818108579855
stratman42,0.012628581457119266
thx1138jr,0.0
uncertainusurper,0.031714513314744626
