USERNAME,vote_count,NDCG@200_tfidf,NDCG@200_llm,NDCG@200_svm,NDCG@200_vn,NDCG@200_nn
mguardian_north,857,0.1601,0.1754,0.0053,0.4026,0.0
Raven2002,854,0.0,0.1978,0.3639,0.0,0.0
Clen23,689,0.2181,0.2065,0.0,0.3232,0.1324
Reeses2150,630,0.0,0.1373,0.0,0.4675,0.0
spockspeare,566,0.0,0.1966,0.0331,0.1556,0.0
apoeticturtle,541,0.0,0.0,0.0,0.131,0.0159
locks_are_paranoid,512,0.0,0.1348,0.0044,0.4943,0.0107
Mash404,512,0.2789,0.0,0.1056,0.236,0.0
daygloviking,473,0.6033,0.8328,0.266,0.0,0.0
thx1138jr,452,0.0,0.1374,0.0,0.0,0.0
MingeyMackrel,452,0.0,0.0,0.0,0.2932,0.0
Livelogikal,446,0.0,0.0,0.0,0.0,0.0
baddonkey,441,0.0,0.0,0.5051,0.0,0.0
uncertainusurper,436,0.1445,0.0,0.0,0.5933,0.0
lokier01,436,0.0,0.0,0.0,0.5065,0.0
CubyChris,429,0.0,0.1472,0.0,0.5805,0.0598
pierrekrahn,424,0.192,0.0,0.0,0.5296,0.0166
Adventurous_Guy,384,0.0,0.0,0.0056,0.4571,0.0166
VerbotenPublish,362,0.0,0.0,0.0,0.0,0.0
stratman42,360,0.0,0.0,0.0,0.0,0.0
