USERNAME,nDCG@200
Raven2002,0
mguardian_north,0.283154351840707
Clen23,0.21290298927299603
Reeses2150,0.0
spockspeare,0.08677320314516665
apoeticturtle,0.0
Mash404,0.2890648263178879
locks_are_paranoid,0.07451172399217044
daygloviking,0
thx1138jr,0
Livelogikal,0.13743580294959373
MingeyMackrel,0.14833566670536175
uncertainusurper,0.0
lokier01,0.08161650825552363
baddonkey,0
pierrekrahn,0.13313191065381752
CubyChris,0.1800700324294899
Adventurous_Guy,0.16911386954319146
stratman42,0
VerbotenPublish,0
