USERNAME,nDCG@200
Adventurous_Guy,0.325639081884904
Clen23,0.0
CubyChris,0.14195685009331527
Livelogikal,0.0
Mash404,0.0
MingeyMackrel,0.14581551052860675
Raven2002,0.0
Reeses2150,0.28905554104384634
VerbotenPublish,0.1965616322328234
apoeticturtle,0.0
baddonkey,0.1536618862898642
daygloviking,0.0
locks_are_paranoid,0.22284231317234682
lokier01,0.19055141242677287
mguardian_north,0.3464261749016511
pierrekrahn,0.32431678180281465
spockspeare,0.0
stratman42,0.0
uncertainusurper,0.3657464287812075
thx1138jr,0.0
